Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Antigua and Barbuda,ATG,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,42.98276404,43.11921601,43.27644562,43.48523862,43.72755504,43.97083376,44.01735792,44.12566745,44.31630972,44.53186467,44.65774343,43.71086284,42.88431853,42.22152396,41.73320659,41.38332669,40.44927606,39.59684036,38.89838158,38.37648502,37.97138932,37.07281553,36.23075802,35.50423228,34.92215065,34.42203735,33.54276646,32.67819239,31.91627139,31.27822216,30.78620778,30.49221203,30.21823766,30.01505085,29.89702994,29.82670744,29.48712468,29.20339172,28.99186059,28.83600718,28.69264365,28.24431436,27.8165911,27.39722573,26.96673969,26.50708893,26.15472045,25.76107395,25.31939061,24.84379683,24.33998273,24.03728726,23.66025506,23.25932077,22.89276377,22.57443943,22.40735451,22.23188649,22.08109175,21.95473548,
Australia,AUS,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,30.18128356,30.25446405,30.16594201,29.97661265,29.77854875,29.62069513,29.50755744,29.41533773,29.35486879,29.28613667,29.15576555,28.87615741,28.59759965,28.30212405,27.95432312,27.53350543,27.23582279,26.76090938,26.20531207,25.69848748,25.30065487,24.77807938,24.44836692,24.22292175,23.96611694,23.62285246,23.40661,23.05779066,22.65587301,22.31817312,22.08941702,21.88322462,21.78369908,21.74359726,21.68424705,21.57034979,21.47847878,21.342472,21.18015039,21.02382316,20.88242324,20.65678955,20.43601255,20.21990642,20.00898004,19.81475369,19.59030323,19.40061322,19.25752247,19.14282802,19.03233624,19.03586303,18.98587091,18.9205481,18.88323841,18.8873399,18.95230838,19.06503741,19.19061704,19.27544671,
Austria,AUT,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,22.23278213,22.46090712,22.65837417,22.86565878,23.11674426,23.41069146,23.69427549,23.99917482,24.28863246,24.49728893,24.58480897,24.53484214,24.36379758,24.08215258,23.72149499,23.30313528,22.7783428,22.24321476,21.6870512,21.10761991,20.52115496,19.976151,19.45658752,18.97180914,18.52581464,18.11927666,17.83795275,17.52199663,17.22407049,17.01450269,16.93031634,16.95244677,17.12509863,17.38407311,17.60774128,17.71737875,17.69440311,17.53406874,17.27875091,17.02418038,16.82714781,16.60306051,16.4492037,16.33215719,16.18382084,15.97175795,15.76174939,15.4962684,15.20350219,14.93443603,14.71666475,14.52203058,14.36658889,14.25418489,14.17413427,14.11997935,14.17065675,14.23091937,14.29794763,14.36185763,
Azerbaijan,AZE,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,39.53165749,40.7250835,41.89785459,42.93968636,43.72290448,44.19004535,44.65861969,44.73901849,44.54017473,44.21059294,43.81588653,43.22947486,42.640443,41.98339547,41.17070007,40.18702064,39.20460012,38.10026791,36.9444899,35.85201631,34.89369478,34.12036905,33.50087794,33.0306139,32.69025575,32.46766981,32.53464125,32.68610424,32.87246968,33.05137268,33.20254527,33.46320197,33.62684534,33.70716064,33.7083606,33.61295796,33.34191749,32.96543585,32.47152501,31.8600305,31.14772464,30.1764801,29.20711832,28.22689604,27.22867444,26.22948362,25.42782011,24.62069202,23.86859344,23.25845761,22.83533801,22.60502773,22.54747379,22.62737458,22.7566802,22.8738889,23.13733618,23.28766358,23.36956986,23.44191985,
Burundi,BDI,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,43.8210078,44.11931127,44.50003973,44.88294028,45.1489117,45.25796614,45.59509729,45.7382813,45.73881898,45.65907536,45.51265653,45.66638442,45.71522938,45.66628184,45.55226741,45.41784657,45.26426388,45.09466343,44.93374212,44.79237684,44.6847207,45.00522674,45.27630052,45.54636953,45.85084989,46.18661933,46.65180878,47.08158002,47.45334318,47.73352297,47.91275239,48.67423215,49.28495233,49.75882421,50.10372155,50.31006124,50.43231056,50.45637711,50.38518731,50.24563101,50.07194847,49.4346909,48.79204751,48.15962996,47.54960708,46.97794745,46.52006106,46.07549477,45.67718938,45.36129554,45.14031418,45.17256753,45.24448874,45.34424579,45.44368268,45.52068252,45.56173987,45.55549408,45.50168075,45.40064767,
Belgium,BEL,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,23.51039803,23.77808372,23.880761,23.87020277,23.84093447,23.83343433,23.8434808,23.81897362,23.76665539,23.68040255,23.55523879,23.33212671,23.11486224,22.87595591,22.58232773,22.2252969,21.8657556,21.44271352,20.98539222,20.54248584,20.14172669,19.75492966,19.42919308,19.15311158,18.90016031,18.6581601,18.48329795,18.30128857,18.13146273,18.00197712,17.92607917,17.84678336,17.82971812,17.85668755,17.88656448,17.88921498,17.8739601,17.81314149,17.72186199,17.63310373,17.5658063,17.43915773,17.34949302,17.28518542,17.22207872,17.15006685,17.09782263,17.03526744,16.972243,16.92050785,16.88274124,16.91872953,16.93807273,16.95440626,16.97684505,17.00415665,17.01670363,17.03647926,17.05542276,17.05820304,
Benin,BEN,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,38.5320169,38.97258044,39.42077497,39.86744841,40.27807801,40.63530921,41.09357424,41.46455955,41.76820378,42.02874351,42.25890521,42.65369694,42.97273561,43.23190442,43.44628181,43.6268305,43.9393781,44.19271756,44.3959854,44.55524155,44.6758484,44.92914897,45.10728123,45.23096702,45.32100147,45.38790572,45.5594112,45.67691003,45.74979049,45.78553266,45.79085732,45.7942996,45.7446196,45.65489319,45.53107861,45.37410351,45.42307769,45.41225626,45.35366017,45.25988363,45.13875791,45.06849418,44.95547465,44.80810259,44.63378341,44.43852435,44.37143364,44.27772507,44.15837513,44.01377887,43.84600977,43.7447831,43.60348882,43.43226025,43.24178533,43.03709018,42.86616993,42.66857733,42.44768239,42.20551877,
Burkina Faso,BFA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,41.32014906,41.62410258,41.83785501,41.988965,42.10881192,42.21464501,42.52541158,42.79588001,43.02332279,43.19281557,43.29771006,43.63141297,43.85337569,43.99833875,44.11460121,44.22871228,44.56264762,44.87806174,45.16372296,45.39958295,45.58113092,45.94530404,46.2016511,46.3853435,46.53272329,46.65523278,46.89829162,47.07542549,47.19349042,47.25271139,47.25322817,47.33917387,47.3612615,47.32570906,47.24034461,47.11394925,47.1349098,47.09095999,47.00283278,46.89230885,46.76984947,46.78328351,46.7524953,46.68822559,46.60019067,46.49593613,46.51223616,46.4888313,46.43229877,46.34360071,46.22335595,46.18208667,46.08178392,45.93838088,45.76723684,45.57394047,45.38764328,45.18153116,44.94808132,44.67782155,
Bangladesh,BGD,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,42.05370014,42.43650837,42.70091417,42.90455346,43.11972286,43.3744108,43.74298672,44.117397,44.46331484,44.70425503,44.78442075,44.92046307,44.98626919,44.98580152,44.96305059,44.95234021,45.05873015,45.06658973,45.00655083,44.88643321,44.70963281,44.64198038,44.47318605,44.23897636,43.97988923,43.71288177,43.46795893,43.19529595,42.88736265,42.52324511,42.09394363,41.71360716,41.27594753,40.79338045,40.28340196,39.75621501,39.22830147,38.68321307,38.12315767,37.54721546,36.95701872,36.4710442,35.96360684,35.44105192,34.90826741,34.36456896,33.90967732,33.43863961,32.95660339,32.4716806,31.98694051,31.41969769,30.87514839,30.34374426,29.81255468,29.27806689,28.75306343,28.22458799,27.70602248,27.21436538,
Bulgaria,BGR,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,26.09359051,25.84183728,25.48243253,25.0543247,24.62934703,24.24348341,23.91730238,23.61891094,23.34821387,23.09566666,22.85863464,22.69501069,22.5495617,22.42912741,22.33632243,22.26619039,22.2635202,22.25927481,22.24548274,22.21065578,22.1486574,22.11991249,22.03838957,21.91888169,21.78639851,21.64984784,21.39371512,21.19313802,20.99526053,20.7254632,20.34733412,20.02492529,19.56036489,18.99918121,18.43136366,17.91024987,17.38323945,16.91868569,16.50133269,16.08816563,15.65998667,15.17425378,14.72369451,14.30413084,13.92880901,13.61635455,13.51216588,13.4361762,13.40619799,13.42906609,13.49632216,13.66294647,13.8016033,13.93722545,14.09382959,14.27373568,14.31638323,14.44473198,14.59546532,14.68537892,
